資料項目,縣市別,縣市別代碼,行政區,精選景點,主題景點,經度,緯度
臺北旅遊網景點資料中文,臺北市,63000,北投區,陽明公園,北投風情與親山遊玩,121.5414734,25.16822357
臺北旅遊網景點資料中文,臺北市,63000,北投區,關渡自然公園,北投風情與親山遊玩,121.4708333,25.11899573
臺北旅遊網景點資料中文,臺北市,63000,北投區,北投溫泉博物館,北投風情與親山遊玩,121.5071545,25.13678965
臺北旅遊網景點資料中文,臺北市,63000,北投區,凱達格蘭文化館,北投風情與親山遊玩,121.5059672,25.13725544
臺北旅遊網景點資料中文,臺北市,63000,北投區,梅庭,北投風情與親山遊玩,121.5087866,25.13723037
臺北旅遊網景點資料中文,臺北市,63000,北投區,草山行館,北投風情與親山遊玩,121.5381261,25.15443334
臺北旅遊網景點資料中文,臺北市,63000,北投區,北投公園露天溫泉浴池,北投風情與親山遊玩,121.5083454,25.13706392
臺北旅遊網景點資料中文,臺北市,63000,北投區,新北投車站,北投風情與親山遊玩,121.5034422,25.13671684
臺北旅遊網景點資料中文,臺北市,63000,士林區,國立故宮博物院,藝文展演與親子同遊,121.548471,25.10257883
臺北旅遊網景點資料中文,臺北市,63000,士林區,國立臺灣科學教育館,藝文展演與親子同遊,121.5168298,25.09634273
臺北旅遊網景點資料中文,臺北市,63000,士林區,臺北市立天文科學教育館,藝文展演與親子同遊,121.5184062,25.09607119
臺北旅遊網景點資料中文,臺北市,63000,士林區,士林官邸公園,藝文展演與親子同遊,121.5324965,25.09309903
臺北旅遊網景點資料中文,臺北市,63000,士林區,臺北市立兒童新樂園,藝文展演與親子同遊,121.5149125,25.09741921
臺北旅遊網景點資料中文,臺北市,63000,士林區,芝山文化生態綠園,藝文展演與親子同遊,121.5319999,25.10449971
臺北旅遊網景點資料中文,臺北市,63000,士林區,臺北表演藝術中心,藝文展演與親子同遊,121.5243906,25.0854254
臺北旅遊網景點資料中文,臺北市,63000,內湖區,白石湖吊橋,休閒踏青與自然教育,121.5874036,25.09980826
臺北旅遊網景點資料中文,臺北市,63000,內湖區,內雙溪自然中心,休閒踏青與自然教育,121.5771256,25.11628337
臺北旅遊網景點資料中文,臺北市,63000,松山區,饒河街觀光夜市,宗教信仰與觀光夜市,121.5769168,25.05103778
